fname,mname,lname,gender,ssn,dob,salary
Armando,Rogers,Hooker,M,800-14-2306,06/19/1949,145500
Wendy,Debora,Gilbert,F,800-52-7886,08/26/1952,70300
Clark,Otha,Sprankle,M,900-47-5668,07/09/1969,94700
Brenda,Deborah,Lanham,F,000-07-6309,01/08/1985,61500
Marylou,Addison,Mendoza,F,800-17-5331,03/30/1963,82000
Kayla,Stefani,Allen,F,900-15-0782,09/26/1949,125100
Joseph,Christopher,Kojima,M,900-43-3034,08/23/1977,141800
Whitney,Kermit,Brunscheen,M,000-87-6633,03/20/1978,78200
Brooke,Alyssa,Decarlo,F,900-15-6272,05/06/1958,147400
Bryan,Bryce,Hudson,M,000-18-0899,12/04/1972,92600
Linwood,John,Blair,M,000-02-9757,06/12/1940,103800
Allan,Rickey,Brocious,M,900-41-5035,05/27/1976,141400
Michael,Bryan,Champagne,M,800-05-5686,08/21/1931,81700
Susan,Anna,Walton,F,900-12-9335,09/20/1944,49200
Joseph,Erick,Sophy,M,000-54-1704,05/16/1967,134900
June,Breanna,Perkins,F,900-07-9182,06/18/1988,122900
David,Jeffrey,Paul,M,000-65-7987,09/18/1942,47600
Judith,Cynthia,Garrett,F,000-78-5803,08/14/1938,142300
Ronald,Douglas,Hanson,M,000-08-7347,05/02/1962,92300
Cesar,Brian,May,M,900-34-6686,02/24/1986,107500
Anita,Yolanda,Terry,F,900-38-4745,11/29/1966,147600
Daniel,James,Chernosky,M,800-88-3318,06/17/1964,135500
Stephanie,Kate,Leonard,F,900-28-5146,09/11/1972,51800
Craig,Gary,Curvey,M,000-57-6372,01/17/1959,123100
Johanna,Domonique,Burnett,F,900-55-1112,10/01/1989,125800
Stephen,James,Aguilar,M,900-47-1048,07/30/1959,129400
Sean,Xzavier,Nell,M,900-71-4023,11/25/1939,103300
James,Michael,Kirby,M,800-77-7671,11/28/1944,137700
Javier,Dwight,Young,M,900-35-5370,11/18/1930,130600
Eric,Billy,Ball,M,900-55-5259,03/18/1945,142000
Ericka,Becky,Byrd,F,900-86-6980,01/26/1939,110600
William,Trever,Krouse,M,800-50-8148,06/09/1964,57700
Jason,Harry,Fields,M,800-24-1617,05/07/1984,63100
Christopher,Amanda,Bangle,M,900-81-8406,03/10/1962,96400
Pam,Lynn,Berryhill,F,000-56-7840,07/24/1942,73900
Dominic,Efrain,Villescaz,M,000-82-9134,08/23/1947,97300
Eric,James,Lamm,M,900-98-5553,09/24/1946,65600
Alondra,Alissa,Ritchey,F,800-30-6335,06/09/1936,136800
Nicole,Catherine,Skelton,F,000-04-1109,11/20/1936,63100
Caleb,Peter,Brown,M,900-31-9507,09/18/1970,136500
Malinda,Patricia,Moore,F,000-33-3419,10/30/1989,54800
Anissa,Mary,Fritts,F,000-21-3614,04/29/1980,57600
Bryanna,Alexis,Ritacco,F,800-58-4954,12/17/1934,121900
Darrick,Gary,Terry,M,800-10-7580,12/15/1948,89800
Mara,Johanna,Ramirez,F,800-02-4037,04/22/1933,91800
Jennifer,Sylvia,Kats,F,800-75-6991,07/10/1966,119400
Angela,Sue,Perez,F,000-71-7337,09/11/1988,70900
Joseph,Matthew,James,M,900-06-1122,03/18/1943,79400
Darlene,Laura,Waeckerlin,F,900-59-3995,09/01/1964,57100
Winifred,Destiny,Nelson,F,900-13-6979,11/14/1960,130700
Deborah,Lynette,Clayton,F,900-91-5236,10/04/1963,93700
John,Tanner,Hoffman,M,800-96-5501,03/13/1983,118900
Joyce,Carol,Burton,F,800-65-5940,09/15/1982,69700
Aspen,Jennifer,Torres,F,900-35-7561,03/18/1974,79900
Alicia,Olivia,Huffman,F,800-95-7013,03/07/1978,115500
James,Derek,Ramirez,M,800-80-9957,11/07/1958,77500
Jean,Morgan,Taylor,F,900-68-0014,05/02/1961,149500
Julie,Rhiannon,Michaud,F,900-46-4020,07/24/1933,55500
Antoinette,Judy,Ralston,F,800-72-7905,03/19/1946,56800
Sarah,Erika,Bartlett,F,000-98-1999,04/05/1983,115200
Leticia,Christina,Hackett,F,000-45-8386,12/28/1961,110100
Paul,Gary,Gibb,M,900-54-8898,04/14/1975,127300
Brian,Eloy,Chase,M,900-69-8636,06/04/1964,125900
Cynthia,Heather,Quintana,F,800-86-9910,10/16/1948,133200
Johnny,Yusuf,Kibler,M,900-96-2955,09/08/1964,83900
Ella,Susan,Frazier,F,800-86-6082,07/23/1942,66700
Stephanie,Patricia,Jefcoat,F,800-90-7152,03/01/1983,126800
Holden,Justin,Day,M,000-10-3413,01/03/1941,118000
Stacey,Kimberly,Spencer,F,000-06-6123,03/09/1948,132700
Ciera,Claudia,Coonradt,F,800-20-3001,02/10/1932,138100
Evelin,Denise,Keatts,F,000-55-3491,07/07/1960,109900
Denice,Susan,Madison,F,900-17-2421,02/22/1930,97400
Teresa,Debra,Crabtree,F,900-37-4742,03/08/1971,149900
Michael,David,Pridgen,M,000-98-0968,06/02/1973,143500
Carolyn,Marlene,Harnan,F,000-04-7761,05/04/1959,146500
Bonnie,Regina,Cole,F,900-97-3944,04/18/1957,97800
Susan,Debra,Barden,F,000-09-7151,12/10/1953,56600
Aimee,Brandy,Sipes,F,900-85-3631,03/23/1983,136600
Darion,Dustin,Tubbs,M,900-69-1269,02/26/1951,132800
Jordan,Micheal,Enns,M,000-50-7104,05/26/1940,146500
Patricia,Sandra,Farace,F,800-13-3362,03/29/1949,90600
Aaron,Emilio,Christensen,M,000-85-3558,10/30/1938,113400
Joseph,Trey,Jinright,M,800-06-0740,07/08/1982,124700
Gaylon,Robert,Davis,M,000-41-6280,05/09/1936,108000
Hayden,Carl,Hopkins,M,000-88-8348,11/24/1937,82200
Lilly,Blair,Pinheiro,F,000-10-6944,08/26/1951,116300
Christopher,Jesse,Verret,M,800-59-5695,03/09/1977,89000
Meghan,Ruby,Smily,F,900-89-2376,09/27/1955,48700
Hunter,Jerome,Pearson,M,900-64-8487,10/07/1977,132900
Patricia,Lissette,Garcia,F,900-17-6440,05/08/1970,53600
Emily,Nathalie,Jeffords,F,900-17-8935,03/04/1981,55000
Cecilia,Mary,Gonzalez,F,000-48-2219,01/16/1987,90800
Joshua,Isaias,Patterson,M,900-38-1095,12/13/1948,129400
Frances,Judy,Oneal,F,800-79-2115,10/17/1930,105900
Vince,Jason,Stewart,M,900-86-0156,02/20/1967,71400
Gary,Lenard,Bausman,M,800-88-6073,03/30/1944,74800
Cornelia,Kaydence,Boivin,F,800-31-7110,11/27/1958,102800
John,Ethan,McLean,M,900-55-0533,05/25/1930,132700
Neil,Brady,Pina,M,900-62-2677,01/20/1965,85400
Archie,Aidan,Vargas,M,000-02-3294,10/17/1937,80900
Whitney,Vanessa,Tyszko,F,900-85-6895,08/22/1963,118500
Sergio,Zachary,Pozo,M,000-48-1960,12/28/1977,49900
Elizabeth,Sarah,Scott,F,900-12-3317,12/18/1940,89300
Bobbie,Carlie,Fox,F,900-87-6084,09/03/1980,63800
Mary,Cecilia,Tapia,F,000-28-9159,06/11/1944,141700
Christopher,Kasey,Malick,M,900-97-5703,03/22/1932,74000
Deborah,Emily,Park,F,900-53-5377,08/23/1983,107300
Justin,Alex,Peterson,M,900-77-1402,06/29/1980,116300
Camryn,Skylar,Mattias,F,900-79-3010,10/25/1963,70800
Minnie,Alyssa,Taylor,F,900-61-3562,09/14/1979,90800
Coy,John,Bruce,M,800-66-4753,04/06/1963,120600
Katelyn,Antoinette,Pasco,F,000-38-0970,12/29/1985,66200
Tiffany,Liliana,Banks,F,900-32-3129,05/19/1974,108900
Sydney,Diane,Maciejewski,F,000-02-1409,10/25/1978,114400
Stephanie,Armani,Breck,F,900-67-9176,10/03/1960,120400
Daniel,Eric,Newman,M,000-89-9424,10/21/1942,102300
Dylan,Donald,Hughes,M,800-69-8072,10/05/1955,142800
Daniel,Tristan,Lundy,M,000-90-8898,06/16/1942,102200
Luis,Jorge,Peterson,M,800-43-0575,06/24/1930,147300
Nancy,Laura,King,F,800-39-0589,08/16/1958,61300
Jill,Kaylynn,Mantini,F,900-57-1702,06/27/1968,120600
Rhonda,Jackie,Phoenix,F,900-12-7302,05/23/1941,69900
Lauri,Sonya,Hansen,F,900-32-0561,06/02/1960,86600
Karol,Kathryn,Harris,F,800-08-1857,01/26/1936,138100
Preston,Bruce,Close,M,800-82-7722,08/15/1931,115500
Rick,Carlos,Myers,M,900-67-5463,05/16/1980,69200
Robert,Andrew,Walker,M,800-73-9046,04/20/1942,51000
Joseph,Mark,Thorne,M,900-68-6724,05/12/1968,105800
Paula,Debra,Pogue,F,900-45-7374,11/14/1931,121000
Omar,Dennis,Montoya,M,000-98-3875,09/14/1977,74000
Elaine,Ariel,Carter,F,900-04-5983,01/14/1959,68200
Dennis,Jeffrey,Keeley,M,800-94-5427,06/18/1982,63500
Michael,Henry,Odea,M,000-14-0224,12/15/1943,132700
John,Kyle,Carpenter,M,800-08-6892,06/08/1945,83900
Larry,Michael,Gonzalez,M,800-11-6220,08/01/1964,90900
Shawna,April,Slocum,F,000-11-3711,01/29/1959,94100
Teresa,Callie,Evans,F,000-34-8086,10/22/1969,96600
Chad,Stephen,Webb,M,800-85-3066,06/14/1975,136800
Debra,Destiny,Scordo,F,000-49-7496,10/08/1930,131100
Robbie,Harley,Dingus,M,900-43-9727,12/17/1945,83600
Patti,Kelly,Despain,F,900-95-2090,01/20/1946,100100
Tristan,Brandon,Rodriguez,M,800-50-3592,04/06/1951,48300
Tristan,Ricardo,Christian,M,800-07-1554,01/23/1963,143100
Emma,Dale,Hughey,F,800-91-9053,06/20/1980,117500
Barbara,Kelly,Carrigan,F,000-51-2838,09/17/1950,114500
Laura,Tracy,Ramirez,F,900-82-8898,07/03/1960,110400
Jacob,Gerald,Glenn,M,000-28-8371,01/18/1977,93500
Vickie,Mackenzie,Ellis,F,800-94-7835,08/08/1936,129100
Donna,Rebecca,Waidelich,F,900-92-3717,02/07/1934,81400
Nathan,John,Washington,M,800-81-3356,12/29/1949,147900
Houston,Daniel,Clark,M,900-96-3537,01/02/1930,142900
Nicole,Leanne,Ervin,F,800-09-4058,10/20/1934,124300
Walter,Clayton,Cureton,M,800-88-7319,04/18/1939,73200
Buford,David,Douglas,M,900-15-8100,11/28/1968,81000
Carol,Nanci,Castellano,F,000-74-8725,09/14/1935,58700
Jerry,Wyatt,Jefferson,M,900-82-6939,04/10/1948,141200
Jayme,Amanda,Bowden,F,000-71-4999,12/24/1959,110100
Courtney,Susan,Rivera,F,800-74-2001,12/10/1953,68400
David,Joseph,Rothenburger,M,900-84-5321,04/20/1957,47200
Michael,Joseph,French,M,900-59-4452,04/21/1988,123000
Sadie,Brittany,Stone,F,000-84-9537,10/22/1981,91300
Gwen,Kelsey,Melgar,F,000-54-0731,12/29/1973,50100
Cedric,Dustin,Mendoza,M,800-75-1148,02/14/1931,104800
Jacob,Jeffrey,Trump,M,900-56-8964,11/27/1957,73900
Aurora,Julia,Brock,F,900-85-0959,06/08/1973,143700
Bryson,Trevor,Simmons,M,000-13-3982,03/27/1966,123200
Gregory,Kaleb,Mathis,M,000-15-0339,02/04/1953,56100
Natalee,Lupe,Beaudry,F,900-76-1015,11/22/1958,138200
Nicolas,Osvaldo,Meyer,M,000-07-5438,01/25/1963,115900
Stephanie,Mollie,Perez,F,000-27-9864,09/30/1967,54500
Robert,Jack,Adame,M,900-37-7697,07/18/1956,118400
Ashley,Sarah,Martin,F,900-51-6981,03/06/1938,147600
Preston,Brady,Sheetz,M,800-42-5951,09/20/1939,73600
Janessa,Melina,Graham,F,900-60-0615,12/08/1980,102300
Dayana,Jordan,Ayer,F,800-24-1131,09/29/1988,63300
Teresa,Abigail,Jones,F,800-39-0501,02/27/1973,90900
Kathleen,Lori,Gibbs,F,900-98-5503,03/02/1954,97000
Susan,Judith,Gerhardt,F,800-08-0829,02/17/1978,58800
Danny,William,Tangri,M,000-81-9105,01/03/1950,55200
Ricardo,James,Carswell,M,900-46-7559,03/04/1938,72000
Justine,Janet,Kerr,F,800-65-7053,01/19/1940,74100
Amber,Cynthia,Wallace,F,000-34-6857,12/14/1947,132400
Austen,Philip,Gunkelman,M,800-45-9276,03/03/1954,62300
David,Omar,Boos,M,800-70-3472,03/05/1943,103400
Payton,Mackenzie,Watkins,F,900-26-7983,09/28/1983,50600
Donald,Tyrone,Kenney,M,900-96-8614,07/08/1951,75600
Jaqueline,Nola,Bush,F,900-89-5270,01/16/1943,143700
Alexis,Katie,Armstrong,F,800-74-3496,08/20/1969,96100
Gary,Lorenzo,Bell,M,800-72-1054,11/08/1955,54000
Ronald,Anthony,Howard,M,000-78-7268,09/17/1984,85100
Dawn,Marissa,Meyer,F,800-24-4497,03/25/1948,103900
Debra,Addison,Rogers,F,000-25-3679,09/15/1939,118000
Kasey,Ashley,Hardy,F,000-79-2121,05/27/1948,105600
Sean,David,Clemens,M,000-77-9391,01/01/1970,101500
Adrian,Kiara,Bebo,F,900-81-9804,07/10/1970,53800
Ricardo,Brandon,Wyatt,M,000-92-5349,06/22/1950,99300
Erica,Marissa,Deglow,F,000-06-4460,06/21/1986,95700
Lindsay,Caleb,Bishop,M,800-08-7530,05/25/1930,114200
Xavier,Justin,Kinzer,M,900-96-3003,02/19/1955,82500
Anthony,Mason,Hopkins,M,800-27-6065,02/20/1947,129000
Aubrey,Stephanie,Gilbert,F,800-05-8810,04/24/1939,74800
Crystal,Lacey,Ramsey,F,800-86-4064,06/11/1964,60900
Janice,Karen,Trusty,F,000-51-8296,08/06/1964,117900
Karl,Joseph,Yard,M,800-75-0103,06/02/1961,86100
Robin,Marcella,Arnone,F,900-09-2771,05/08/1969,115400
Christopher,William,Woodard,M,800-34-0752,06/20/1933,129900
Christine,Terry,Medina,F,900-37-3243,01/21/1966,63100
Nora,Robin,Horton,F,800-91-2064,11/21/1982,101200
Bridget,Molly,Tavarez,F,000-23-8315,09/04/1942,56700
Jeremy,Francis,Cooper,M,900-12-7684,11/05/1940,149800
Philip,Wayne,Binns,M,800-52-8572,04/23/1972,52400
Charles,Daniel,Chapman,M,800-21-3069,10/15/1974,147700
Aleah,Teresa,Doucette,F,800-76-1722,07/15/1940,79400
Tara,Judith,Kenworthy,F,900-58-0940,11/20/1962,105100
Wayne,Terry,Davidson,M,800-04-7943,08/03/1973,135400
Robin,Marie,Ayala,F,000-43-6415,07/30/1986,81300
Stanley,Jared,Calkins,M,900-39-8316,03/27/1963,137700
Sharon,Letha,Brenneman,F,000-72-0170,03/21/1963,146000
Gregory,Isaiah,Santee,M,000-59-9991,08/04/1940,56500
Laurel,Theresa,Mantifel,F,000-33-4676,03/25/1950,94500
Nicholas,Jeffery,Abney,M,800-65-2551,01/28/1963,65600
Lindsay,Deborah,Ward,F,800-22-2729,09/23/1931,79900
Kristi,Sara,Petersen,F,900-36-7322,10/08/1945,71200
Donald,Travis,Gregoire,M,900-43-5266,10/20/1962,111200
Daniel,Henry,Hunter,M,800-54-2974,10/08/1982,133700
William,Jay,Waters,M,800-55-8033,03/30/1945,86700
Elizabeth,Maggie,Mowrey,F,800-87-3127,07/26/1944,148900
Trevor,George,Woody,M,900-62-9117,05/11/1943,116300
Sarah,Cathie,Portwine,F,900-48-4313,11/21/1941,63400
Theresa,Leah,Barr,F,000-84-1879,07/09/1984,64400
Alexis,Mary,McCulloch,F,000-56-5021,06/04/1980,127500
Jason,Justin,Brock,M,000-59-0311,01/12/1980,46500
Michael,Jacques,Lance,M,800-83-9133,02/18/1971,51600
Wilford,Justin,Davis,M,000-40-6375,03/11/1941,132600
Theresa,Cassie,Ruggiero,F,800-62-9526,06/25/1940,114500
Breana,Breanna,Baker,F,900-08-1320,07/22/1969,81500
Christopher,Tre,Doberstein,M,800-67-0124,03/22/1940,57200
Bernard,Andrew,Harrington,M,800-10-5523,10/04/1950,103100
Grant,Christopher,Hensley,M,800-21-7164,08/17/1974,53800
Wanda,Beverly,Zuerlein,F,900-88-3901,07/21/1945,124600
Micheal,John,Slyton,M,800-78-3003,01/12/1941,68200
Kelly,Helen,Maccheyne,F,900-66-6396,12/15/1953,148600
Ellen,Natalie,Oerther,F,800-86-8175,04/04/1932,90600
Andrew,Jordan,Aguilar,M,800-88-5591,12/22/1940,139100
Stephen,Wesley,Demotta,M,900-19-0060,09/29/1977,136700
Michael,Joseph,Kramer,M,900-52-2065,06/14/1948,99900
Autumn,Josephine,Bethel,F,900-69-8621,08/05/1961,126200
William,Joseph,Marie,M,800-58-2229,11/11/1987,75900
Allen,Ryan,Armstrong,M,000-29-4273,03/10/1984,64100
Stephen,Derek,Wise,M,900-68-8348,02/09/1945,96800
Mallory,Abbey,Chang,F,000-17-3452,02/18/1979,97200
Celeste,Hannah,Flynn,F,000-93-7582,03/25/1945,56500
Christopher,Clinton,Morris,M,800-70-4511,12/28/1986,120600
Drake,Jaquan,Mand,M,900-85-5152,10/22/1961,66600
Mary,Isabella,Mangold,F,800-25-5630,03/08/1939,123800
Kimberly,Tracie,Mullins,F,800-74-2340,03/19/1958,138800
Dusty,Brian,Young,M,000-57-0687,07/02/1971,136700
Hailey,Barbara,Lentz,F,900-62-4497,09/02/1932,77000
Douglas,William,Pahl,M,000-75-7715,03/11/1953,125700
Katie,Kimberly,Carlson,F,900-70-4841,11/08/1978,138000
Connie,Catherine,Mells,F,900-39-1991,09/14/1961,143500
Eric,Vince,Cervantes,M,900-38-2321,07/30/1976,98700
Johnathan,George,Duncan,M,000-40-8252,05/30/1944,99200
Andrew,Jerome,Brauer,M,900-20-4343,04/27/1949,56600
Aaron,Kevin,Marshall,M,000-90-4550,09/11/1973,48400
Karen,Mary,Kelley,F,800-75-0224,09/08/1945,100100
Jonathan,Corey,Habif,M,000-91-1710,10/04/1951,114700
Douglas,Larry,Patrick,M,900-30-6690,03/28/1936,116700
Ian,Ryan,Bowers,M,000-69-9823,06/22/1953,128400
Jarod,Roger,Lowery,M,000-23-2230,10/04/1971,128500
Veronica,Cecile,Davis,F,800-89-7077,08/09/1945,137500
Harold,Gregory,Congleton,M,800-83-7908,05/01/1941,127200
Daren,Daniel,Steinbock,M,800-33-2232,09/13/1939,127400
Cynthia,Kati,Mentz,F,800-15-8626,08/06/1952,124300
Landon,Brad,Barnes,M,900-15-9127,06/10/1941,120400
Ryker,Jonathan,Mann,M,000-68-3252,03/07/1958,72500
Craig,Johnny,Terry,M,800-22-3756,03/05/1946,120200
Nicholas,Andrew,White,M,900-45-0202,11/02/1980,114500
Susan,Peggy,Chunn,F,900-05-0671,11/14/1947,77700
Shanika,Ashley,Olander,F,800-20-9740,07/17/1961,97900
Rick,Joseph,Thompson,M,800-85-3877,10/29/1948,147300
Natalie,Kylee,McGovern,F,800-28-4169,05/15/1953,59800
Gary,Abram,Sims,M,900-48-1835,12/27/1968,61600
Barbara,Cassie,Dungan,F,000-85-9844,07/30/1974,61100
Peter,Joseph,Thury,M,000-92-4913,06/22/1949,80900
Marcie,Jo,Waldron,F,800-06-7012,10/28/1946,50400
William,Brian,Byas,M,000-65-6497,06/10/1967,122300
Riley,Sadie,Dreese,F,800-50-7127,05/31/1936,67400
Nestor,Jerry,Grogan,M,800-21-0065,01/08/1974,124500
Michael,Francis,Berry,M,800-70-7329,04/14/1938,88600
Julia,Rebecca,Morales,F,000-28-6384,07/06/1948,77500
Elizabeth,Janette,Espinoza,F,900-11-8538,08/30/1980,117700
Anthony,Emerson,Perez,M,000-69-6008,01/22/1951,54000
Brynn,Sadie,Garrett,F,900-88-3620,04/07/1967,63400
Josephine,Caroline,Viramontes,F,800-22-4696,03/29/1976,91100
Cynthia,Deborah,Herrel,F,000-20-4485,02/24/1964,133900
Tre,Gavin,Emery,M,900-15-1930,03/31/1953,133500
Karen,Kelly,Mason,F,900-24-9568,09/02/1942,102100
Brendan,Jacob,Queen,M,800-17-5195,11/08/1940,118700
Jose,Jeffrey,Greene,M,800-37-5565,02/01/1953,65900
Natalie,Ava,Fletcher,F,000-96-5157,05/21/1942,110300
Addison,Patricia,Snyder,F,800-40-9841,10/18/1982,73200
Christopher,Herbert,White,M,000-40-9409,11/05/1954,130700
Jenna,Esmeralda,Johnston,F,800-34-2435,10/21/1978,59000
Savannah,Mallory,Brady,F,900-33-4939,06/28/1948,75300
Michele,Rikki,Ferreira,F,800-62-9019,01/01/1936,123400
Wilmer,Leo,Bednarz,M,000-52-1969,02/07/1940,117400
Shea,Lisa,Rivera,F,900-51-8793,09/13/1989,92100
Leah,Judy,Perez,F,000-10-4334,05/10/1941,136800
Jamie,Amelia,Snyder,F,900-91-3640,12/16/1969,106800
Andrew,Michael,Ward,M,000-34-4052,12/24/1981,121900
Ann,Janice,Hunsberger,F,900-24-7502,05/12/1986,77900
Derek,Nolan,Hernandez,M,000-09-0232,09/06/1961,144600
Luann,Bianca,Cheever,F,000-73-7378,05/31/1968,81400
Robert,Melvin,Martin,M,900-79-4983,04/12/1975,91100
Jacqueline,Abigail,Newlin,F,900-52-9816,03/22/1972,82200
Tony,Joseph,Rutland,M,800-20-1498,10/13/1932,149000
Donald,Andre,Salazar,M,000-29-9350,08/16/1959,82100
Emerson,Artie,Mineo,M,800-92-1927,05/29/1987,93900
Santino,Kenneth,Vredenburg,M,900-31-7753,04/10/1975,112500
Krystal,Cheryl,Adams,F,000-69-5243,02/24/1984,100100
Major,John,Moore,M,800-34-5533,03/13/1939,130600
James,Joseph,Garrison,M,000-89-7725,07/15/1978,47000
Jacob,Don,Carter,M,900-39-9573,07/18/1951,62700
Nicholas,Rafael,Keene,M,800-53-1221,02/02/1972,115300
Clarence,Gregory,Perkins,M,800-64-3317,09/23/1939,79300
Sandra,Vicky,Riley,F,900-13-6855,03/10/1981,71800
Kennedy,Stephanie,Keller,F,000-82-8404,11/12/1989,140400
Lynn,Robert,Massard,M,000-72-4338,08/17/1986,85800
Brady,Paul,Chambers,M,800-89-9183,09/13/1983,145200
Benjamin,Daniel,Hopkins,M,000-42-9509,09/30/1955,109800
Shawn,Robin,Negron,M,000-91-3972,12/22/1982,117300
Nancy,Ashley,Castillo,F,900-79-5311,07/04/1938,60600
Jaden,Logan,Paviol,M,800-27-9504,03/27/1985,63200
Sandra,Laurel,Bruce,F,800-26-3804,10/16/1975,81600
Nancy,Brenda,Brown,F,800-79-7461,01/28/1963,90600
Rebecca,Georgina,Filer,F,800-31-9425,04/26/1962,134700
Gloria,Carole,Ward,F,900-46-4470,09/13/1948,87400
Noah,Ronald,Bruce,M,900-03-6108,01/14/1971,46500
Hunter,Colleen,Quinnett,F,000-51-9513,02/13/1963,53900
Andrea,Bonny,Hudson,F,000-41-3438,03/13/1941,65900
Ignacio,Nicolas,Wilson,M,800-38-5134,03/29/1988,101200
Mckinley,Joe,Warren,M,900-38-9504,12/10/1981,112500
Phillip,Armand,Pecanty,M,800-72-1334,10/08/1930,106700
Kim,Cynthia,Gibson,F,900-48-0591,05/20/1983,69300
Jorge,Alexander,Morales,M,000-36-3597,12/07/1949,106000
William,Timothy,Barker,M,900-70-0371,10/23/1962,49300
Riley,Luis,McGhee,M,900-96-8925,11/22/1956,110100
Nicolas,Sebastian,Broomes,M,800-85-3758,01/04/1950,49500
Ryan,Harry,Arnold,M,900-91-6300,04/02/1967,131500
Matthew,Jeffrey,McPhillips,M,900-53-3082,11/02/1931,106500
Elena,Julia,Whitehead,F,900-45-0467,09/28/1970,148600
Ryan,Ulises,McCluney,M,900-52-6715,05/27/1942,82300
Chrystal,Gayle,Simmons,F,900-13-0460,08/17/1972,134400
Douglass,Phillip,Ferguson,M,800-14-2851,07/15/1961,74400
Kayla,Kim,Morioka,F,000-38-6778,08/27/1965,96100
Savannah,Amber,Stewart,F,900-98-3537,01/02/1960,135100
Blake,Sean,Nivison,M,000-44-3604,04/11/1968,141300
Michael,William,Duhn,M,000-29-8245,03/30/1931,141900
Elaine,Kelly,Martinez,F,000-81-1091,01/02/1956,95300
Jonathon,Jacob,Rayfield,M,800-16-6420,12/25/1982,58600
William,Charles,Hernandez,M,900-07-8845,05/16/1939,146400
Christine,Stephanie,Kim,F,900-93-3600,12/25/1964,134800
Jerry,Donald,Callahan,M,000-27-0426,02/07/1963,124500
Natalia,Sandra,Costagliola,F,000-63-5467,12/21/1965,55600
Carlos,Archie,Morello,M,000-01-6839,06/26/1942,49100
Alicia,Willow,Perez,F,000-04-7602,06/22/1977,117900
Miriam,Rebecca,Bates,F,800-67-5294,04/23/1970,135600
Cynthia,Erma,Wilson,F,900-29-7865,10/22/1961,107600
Jaylon,Mark,Lewis,M,800-61-5164,01/21/1976,149300
Alice,Maria,Comeau,F,000-36-1016,03/02/1935,104800
Anita,Emily,Wallenstein,F,800-87-6607,07/18/1982,149500
Larry,Manuel,Segrest,M,800-36-9475,05/08/1932,86300
Esmeralda,Leslie,Worthington,F,800-16-6951,05/31/1933,52400
Cory,Isaiah,Cote,M,800-01-6641,12/09/1946,47300
Patricia,Russell,Murray,M,000-75-2532,03/26/1975,114200
Jason,Michael,Till,M,000-61-1648,12/14/1966,105900
Essence,Christine,Love,F,800-75-6114,07/27/1961,85900
Regina,Shelly,Schorr,F,800-30-6996,09/30/1981,60400
Jessica,Kristen,Dubois,F,800-43-2577,09/16/1930,72700
Karen,Fiona,Carroll,F,900-42-2953,03/27/1940,148600
Daniel,Nicholas,Plyler,M,000-88-7995,07/30/1930,114000
James,Chris,Berkey,M,900-36-5112,07/17/1946,96100
Eli,Karl,Vitucci,M,900-44-9798,09/05/1963,132400
Roger,Noah,Choice,M,000-26-4051,01/23/1982,105100
Tiffanie,Ariel,Chavez,F,800-87-8137,04/27/1944,115100
Carla,Melva,Ashley,F,800-17-8462,09/19/1949,121400
Galilea,Renee,Joiner,F,800-09-1136,11/12/1941,139500
Christopher,Devonte,Pederson,M,900-85-5681,08/23/1963,113900
Marianne,Iris,Carrillo,F,000-42-9172,04/19/1945,146300
Eric,Michael,Klein,M,900-22-6014,02/19/1958,100600
Bruce,Jacob,Maser,M,900-76-5859,09/25/1981,118800
Danny,Steven,Oconnor,M,000-87-9769,03/11/1963,132700
Claire,Sandra,Darby,F,800-30-5849,05/05/1989,131200
Amanda,James,Torongeau,M,800-71-8401,12/11/1956,86100
Linda,Rita,Smith,F,000-37-2165,11/25/1957,137900
Gary,Jonathan,Hawthorne,M,900-14-3670,12/22/1957,80200
Stephanie,Debra,Dorsey,F,000-01-8170,08/03/1972,74800
Monte,Jonathan,Larson,M,000-41-1227,10/25/1971,80000
Malia,Donna,Wing,F,900-79-1870,11/12/1942,87900
Grant,Matthew,Rodriguez,M,800-45-7527,12/03/1980,71900
Josiah,Timothy,Dempsey,M,000-53-2666,06/07/1982,73200
Hailey,Patricia,Kamealoha,F,900-84-1488,12/21/1930,74600
Paul,Alan,Larios,M,900-47-3252,05/05/1963,96300
Daniel,Robert,Mullins,M,800-95-4769,01/30/1944,114800
Abbie,Brittany,Oliff,F,900-23-1786,09/09/1970,102800
Ronnie,Elijah,Calhoun,M,000-36-7127,02/12/1944,65300
Justin,Eric,Hernadez,M,800-92-2003,01/09/1972,122600
Brian,Evan,Cooley,M,800-11-5710,03/18/1931,67200
Brycen,Danial,Olson,M,900-63-1423,02/25/1985,79900
Brooke,Sabrina,Roland,F,000-45-9710,03/25/1986,124800
Rodney,James,Moody,M,900-53-0313,09/23/1968,81800
Luis,Travis,Collins,M,000-08-4301,03/30/1961,69500
Aimee,Barbara,Myers,F,900-42-6553,07/28/1976,148700
Michael,Marc,Gallo,M,800-86-0226,12/10/1944,71400
Jody,Madeline,Lenharr,F,800-18-4075,01/05/1976,142800
Christopher,William,Wesson,M,000-90-7983,06/30/1986,73100
Cynthia,Christy,Snuffer,F,000-47-5009,10/07/1978,139900
Luis,Orlando,Conklin,M,000-18-8001,03/22/1966,125100
Chloe,Vanessa,Portillo,F,000-04-8219,12/07/1937,55000
Arturo,Robert,Segarra,M,800-09-0685,05/04/1967,109900
